Startup received!

I ,time,shin_cal_tot,shin_cal_gyr,shin_cal_acc,shin_cal_mag | foot_cal_tot,foot_cal_gyr,foot_cal_acc,foot_cal_mag | shin_qw,shin_qx,shin_qy,shin_qz | foot_qw,foot_qx,foot_qy,foot_qz | shin_ax,shin_ay,shin_az | foot_ax,foot_ay,foot_az
F ,time | val
L ,time | val
M ,time | potL_cur,potR_cur | potL_adj,potR_adj | targetPotL,targetPotR | motorCmdL,motorCmdR
LOG,time | msg
ERR,msg

LOG,97977 | Motors started.
I ,99734,2,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.69,-2.55,-313.38,1.06,26.36
I ,99764,3,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.69,-0.7,-1.07,2.47,-0.52,9.4
F ,99764,276
L ,99764,106
I ,99774,3,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,1.872,0.01,-312.88,7.71,2.59,0.03,2.56
L ,99793,105
I ,99814,3,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.64,-1.08,2.51,-0.5,9.43
F ,99814,276
I ,99864,3,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.69,-0.7,-1.03,2.5,-0.56,9.39
F ,99864,277
L ,99903,107
I ,99914,3,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.69,-0.68,-1.1,2.5,-0.54,9.4
F ,99914,277
L ,99914,106
F ,99917,273
L ,99917,107
I ,99924,3,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.69,-0.68,-1.09,2.49,-0.52,9.4
F ,99927,276
I ,99943,3,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.69,-0.69,-1.08,2.5,-0.55,9.39
F ,99944,277
I ,99953,3,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.69,-1.04,2.49,-0.52,9.4
F ,99953,277
F ,99964,276
L ,99964,2633
F ,99984,276
L ,99984,106
I ,100034,3,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.68,-1.09,2.51,-0.54,9.43
F ,100034,276
I ,100135,3,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.69,-0.73,-1.09,2.5,-0.55,9.43
F ,100135,276
I ,100153,3,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.69,-0.68,-1.04,2.5,-0.56,9.4
F ,100153,275
I ,100174,3,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.69,-0.69,-1.11,2.51,-0.55,9.42
F ,100174,274
F ,100225,276
L ,100225,106
I ,100244,3,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.63,-1.12,2.5,-0.51,9.42
F ,100244,275
L ,100244,106
I ,100265,3,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.64,-1.08,2.51,-0.55,9.39
F ,100265,276
F ,100275,275
F ,100284,275
L ,100284,107
I ,100294,3,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.68,-1.07,2.48,-0.55,9.39
F ,100294,275
L ,100294,106
L ,129791,51715
F ,100304,278
I ,100325,3,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.69,-0.68,-1.04,2.48,-0.54,9.42
F ,100325,275
L ,100325,106
I ,100354,3,3,1,3,0,3,1,0,0.3294,0.6383,-1.073,-2.3839,1.2029,-2.278,-1.3592,-2.5853,-140.81,-166.41,-281.6,-12.81,-138.21,-209.82
I ,100365,3,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.67,-1.1,2.51,-0.55,9.39
F ,100365,275
I ,100404,3,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.68,-1.05,2.5,-0.54,9.39
F ,100404,277
F ,100415,275
L ,100415,73
L ,100425,106
I ,100435,3,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.68,-1.07,2.49,-0.5,9.4
F ,100435,275
L ,100435,107
I ,100444,3,3,1,3,0,3,1,0,0.3294,0.62,-0.4138,0.5794,-0.789,-0.0601,0.1226,-0.5989,9.68,-0.66,-1.05,2.5,-0.52,9.43
F ,100444,275
L ,100444,106
