I ,67814,3,3,0,3,2,3,1,3,0.134,0.5297,-0.2002,0.8132,0.3858,-0.0857,-0.1047,0.9125,6.38,-3.25,3.72,18.87,5.94,1.28
F ,67814,59
L ,67814,106
I ,67824,3,3,0,3,2,3,1,3,0.1334,0.5216,-0.205,0.8173,0.3842,-0.0994,-0.1099,0.9112,4.71,-5.8,6.71,20.56,6.69,-5.94
F ,67824,61
L ,67824,106
I ,67831,3,3,0,3,2,3,1,3,0.1349,0.5168,-0.2104,0.8187,0.3815,-0.1101,-0.1165,0.9103,4.01,-5.73,5.65,20.73,4.94,-9.06
F ,67831,59
L ,67831,106
L ,67837,107
I ,67842,3,3,0,3,2,3,1,3,0.1354,0.5156,-0.2142,0.8184,0.3782,-0.1164,-0.1228,0.91,3.17,-5.3,5.21,20.73,4.21,-8.94
F ,67842,59
I ,67854,3,3,0,3,2,3,1,3,0.1352,0.5175,-0.2169,0.8165,0.376,-0.1177,-0.1258,0.9104,3.44,-5.17,2.93,17.18,4.26,0.36
F ,67854,59
L ,67854,106
I ,67864,3,3,0,3,2,3,1,3,0.1337,0.5221,-0.218,0.8135,0.3757,-0.1145,-0.1258,0.9109,4.92,-6.07,0.7,17.18,4.26,0.36
F ,67864,60
L ,67864,106
L ,67867,112
I ,67874,3,3,0,3,2,3,1,3,0.1309,0.529,-0.2171,0.8098,0.377,-0.1083,-0.1251,0.9112,6.71,-5.19,-3.2,15.14,3.96,2.32
F ,67874,64
I ,67881,3,3,0,3,2,3,1,3,0.127,0.5374,-0.2144,0.8056,0.3793,-0.101,-0.125,0.9111,6.94,-3.55,-4.28,14.75,2.55,5.15
F ,67881,67
L ,67881,124
